id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
68425,Eminent Domain,771,6.98981,6.73681,10352,13552,2.5055,2,4,45,45,https://boardgamegeek.com/boardgame/68425
337765,Brian Boru: High King of Ireland,772,7.55286,6.73664,3047,4267,2.4583,3,5,60,90,https://boardgamegeek.com/boardgame/337765
41,Can't Stop,773,6.89439,6.73441,17341,16293,1.1502,2,4,30,30,https://boardgamegeek.com/boardgame/41
255692,New Frontiers,774,7.43097,6.73427,3559,4485,2.9388,2,5,45,75,https://boardgamegeek.com/boardgame/255692
351040,Ready Set Bet,775,7.66054,6.73294,2717,5413,1.275,2,9,45,60,https://boardgamegeek.com/boardgame/351040
244228,Reef,776,7.02278,6.73275,9199,13468,1.8047,2,4,30,45,https://boardgamegeek.com/boardgame/244228
21882,Blue Moon City,777,7.04113,6.73248,8465,9708,2.2914,2,4,30,50,https://boardgamegeek.com/boardgame/21882
218333,Rhino Hero: Super Battle,778,7.24491,6.73108,5057,9568,1.1067,2,4,10,20,https://boardgamegeek.com/boardgame/218333
329551,Mosaic: A Story of Civilization,779,7.62852,6.73071,2895,5323,2.9358,2,6,120,120,https://boardgamegeek.com/boardgame/329551
220520,Caverna: Cave vs Cave,780,7.11803,6.72831,6545,13095,2.5568,1,2,20,40,https://boardgamegeek.com/boardgame/220520
244608,Menara,781,7.44697,6.728,3454,6068,1.6379,1,4,10,60,https://boardgamegeek.com/boardgame/244608
200147,Kanagawa,782,7.04353,6.7279,8727,13579,2,2,4,45,45,https://boardgamegeek.com/boardgame/200147
173442,Empires: Age of Discovery,783,7.84439,6.7276,2206,3125,3.3333,2,6,50,150,https://boardgamegeek.com/boardgame/173442
158435,Dogs of War,784,7.52013,6.72688,3180,4237,2.6545,3,5,75,75,https://boardgamegeek.com/boardgame/158435
201825,Ex Libris,785,7.14814,6.72642,6330,10065,2.5401,1,4,45,45,https://boardgamegeek.com/boardgame/201825
47185,Warhammer: Invasion,786,7.23611,6.7262,5991,8027,2.7343,2,2,45,45,https://boardgamegeek.com/boardgame/47185
169654,Deep Sea Adventure,787,6.91917,6.72436,15523,25549,1.1838,2,6,30,30,https://boardgamegeek.com/boardgame/169654
335764,"Unmatched: Battle of Legends, Volume Two",788,8.35573,6.72428,1644,5740,2.1579,2,4,20,40,https://boardgamegeek.com/boardgame/335764
156943,Saint Petersburg (Second Edition),789,7.46785,6.72392,3311,4019,2.6525,2,5,60,60,https://boardgamegeek.com/boardgame/156943
43528,World Without End,790,7.24007,6.7238,4979,7670,2.8167,2,4,90,120,https://boardgamegeek.com/boardgame/43528
192457,Cry Havoc,791,7.13878,6.72264,6750,10703,3.2808,2,4,60,120,https://boardgamegeek.com/boardgame/192457
2163,Space Hulk,792,7.47893,6.72129,3826,4094,2.5,2,2,45,45,https://boardgamegeek.com/boardgame/2163
2453,Blokus,793,6.85911,6.72078,26461,37351,1.7482,2,4,20,20,https://boardgamegeek.com/boardgame/2453
361545,Twilight Inscription,794,7.56309,6.71844,3062,6897,3.2348,1,8,90,120,https://boardgamegeek.com/boardgame/361545
291845,Three Sisters,795,7.62085,6.71825,2807,6757,2.6944,1,4,30,60,https://boardgamegeek.com/boardgame/291845
353288,Trekking Through History,796,7.75924,6.71786,2393,5269,1.7794,2,4,30,60,https://boardgamegeek.com/boardgame/353288
586,Up Front,797,7.88447,6.71772,2261,3901,3.4152,2,2,60,60,https://boardgamegeek.com/boardgame/586
256570,Crown of Emara,798,7.40823,6.71711,3579,5527,3.0503,1,4,45,75,https://boardgamegeek.com/boardgame/256570
204516,878 Vikings: Invasions of England,799,7.50514,6.71621,3303,6089,2.6134,2,4,60,120,https://boardgamegeek.com/boardgame/204516
162286,Super Motherload,800,7.34739,6.71558,3923,5184,2.2748,2,4,60,75,https://boardgamegeek.com/boardgame/162286
40628,Finca,801,7.06608,6.71534,7297,6915,2.0764,2,4,45,45,https://boardgamegeek.com/boardgame/40628
238799,Messina 1347,802,7.62913,6.71495,2702,4958,3.5822,1,4,60,140,https://boardgamegeek.com/boardgame/238799
276498,Paris: La Cité de la Lumière,803,7.32934,6.71429,4352,9346,2.0435,2,2,30,30,https://boardgamegeek.com/boardgame/276498
251678,Railroad Ink: Blazing Red Edition,804,7.10339,6.71247,6632,13034,1.4646,1,6,20,30,https://boardgamegeek.com/boardgame/251678
179803,Arcadia Quest: Inferno,805,7.90161,6.71218,2305,7281,2.44,2,4,60,120,https://boardgamegeek.com/boardgame/179803
170416,Vast: The Crystal Caverns,806,7.12349,6.71188,6816,13049,3.6402,1,5,75,75,https://boardgamegeek.com/boardgame/170416
181687,The Pursuit of Happiness,807,7.18291,6.71175,5283,8616,2.5037,1,4,60,90,https://boardgamegeek.com/boardgame/181687
230244,Black Angel,808,7.26529,6.71126,4616,8543,3.8467,1,4,60,120,https://boardgamegeek.com/boardgame/230244
45,Perudo,809,6.90765,6.71096,14639,19512,1.2568,2,6,15,30,https://boardgamegeek.com/boardgame/45
36235,The Duke,810,7.33048,6.71088,4132,6651,2.4809,2,2,30,30,https://boardgamegeek.com/boardgame/36235
203417,Exit: The Game – The Secret Lab,811,7.06822,6.71015,6792,11507,2.5443,1,6,45,150,https://boardgamegeek.com/boardgame/203417
137988,Zombicide Season 2: Prison Outbreak,812,7.36027,6.70966,4681,11679,2.669,1,6,60,60,https://boardgamegeek.com/boardgame/137988
51,Ricochet Robots,813,7.02423,6.70891,8935,9475,2.3852,1,99,30,30,https://boardgamegeek.com/boardgame/51
346703,7 Wonders: Architects,814,7.04042,6.70834,8414,11540,1.337,2,7,25,25,https://boardgamegeek.com/boardgame/346703
198830,"Heroes of Land, Air & Sea",815,7.6084,6.70753,3002,5514,3.3061,1,4,120,180,https://boardgamegeek.com/boardgame/198830
218121,Dice Hospital,816,7.13863,6.70698,6009,9405,2.3111,1,4,45,90,https://boardgamegeek.com/boardgame/218121
131287,Panamax,817,7.30952,6.70674,3978,5298,3.7439,2,4,90,120,https://boardgamegeek.com/boardgame/131287
179172,Unfair,818,7.33853,6.70662,4813,8548,2.7265,2,5,50,125,https://boardgamegeek.com/boardgame/179172
26997,1989: Dawn of Freedom,819,7.78497,6.70488,2281,4454,3.2834,2,2,150,150,https://boardgamegeek.com/boardgame/26997
262941,Dominant Species: Marine,820,7.98521,6.70396,1890,3622,3.6195,2,4,90,150,https://boardgamegeek.com/boardgame/262941
160499,King of New York,821,6.8957,6.70309,16192,25232,1.8601,2,6,40,40,https://boardgamegeek.com/boardgame/160499
171273,FUSE,822,7.00682,6.70197,8507,12737,1.6564,1,5,10,10,https://boardgamegeek.com/boardgame/171273
266164,Babylonia,823,7.67877,6.70164,2421,3245,2.3919,2,4,60,60,https://boardgamegeek.com/boardgame/266164
148729,Maquis,824,7.45226,6.70118,3362,7664,2.2031,1,1,30,30,https://boardgamegeek.com/boardgame/148729
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,825,7.21691,6.70017,6292,13517,2.5859,1,5,60,60,https://boardgamegeek.com/boardgame/91872
