id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
145659,Scoville,659,7.16555,6.74399,4764,7025,2.7831,2,6,60,90,https://boardgamegeek.com/boardgame/145659
82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,660,7.52879,6.74271,2558,5620,2.3165,2,4,30,30,https://boardgamegeek.com/boardgame/82421
161417,Red7,661,6.9216,6.74215,12674,18413,1.6997,2,4,5,30,https://boardgamegeek.com/boardgame/161417
137269,Spyrium,662,7.07777,6.74131,5771,7052,2.8951,2,5,75,75,https://boardgamegeek.com/boardgame/137269
103886,Star Wars: The Card Game,663,7.1922,6.74023,5329,10029,2.9634,2,2,30,60,https://boardgamegeek.com/boardgame/103886
266121,Unlock!: Heroic Adventures,664,7.82721,6.7401,1823,4008,2.2,1,6,60,60,https://boardgamegeek.com/boardgame/266121
231581,AuZtralia,665,7.40702,6.73971,3087,5237,2.9322,1,4,30,120,https://boardgamegeek.com/boardgame/231581
41066,Virgin Queen,666,8.05167,6.73968,1554,3002,4.397,2,6,420,420,https://boardgamegeek.com/boardgame/41066
190082,Whitehall Mystery,667,7.5935,6.73897,2354,4680,2.1667,2,4,45,60,https://boardgamegeek.com/boardgame/190082
191051,Outlive,668,7.36654,6.73855,3574,6062,3.0175,2,4,40,110,https://boardgamegeek.com/boardgame/191051
230244,Black Angel,669,7.42034,6.73844,3018,5185,3.8144,1,4,60,120,https://boardgamegeek.com/boardgame/230244
139898,Brew Crafters,670,7.44435,6.73815,2802,4496,3.5745,2,5,90,90,https://boardgamegeek.com/boardgame/139898
249381,The Estates,671,7.49071,6.73803,2544,3580,2.3421,2,5,40,60,https://boardgamegeek.com/boardgame/249381
242639,Treasure Island,672,7.29942,6.73802,3734,6793,2.2742,2,5,45,45,https://boardgamegeek.com/boardgame/242639
94,Union Pacific,673,7.20966,6.73796,4176,4329,2.5508,2,6,90,90,https://boardgamegeek.com/boardgame/94
264055,Draftosaurus,674,7.19367,6.73788,4653,7836,1.2162,2,5,15,15,https://boardgamegeek.com/boardgame/264055
